text,source,lang
"North Korea Nuclear Talks Still Planned, US Government Says The US is working with China and other nations to hold another round of talks with North Korea on dismantling the communist country #39;s nuclear program, the State Department said.",ag_news:world,en
Qanuni Says Candidates to Accept Afghan Election KABUL (Reuters) - The chief rival to Afghan President Hamid Karzai in last week's historic presidential election said on Monday he and several other candidates had dropped a plan to boycott the election process.,ag_news:world,en
"Workers die in collapse at airport DUBAI, United Arab Emirates A collapse at a construction site at the Dubai airport on Monday killed five people and injured a dozen, the Department of Civil Aviation said.",ag_news:world,en
New Threats Against Americans in Kabul American officials warned U.S. citizens Monday to avoid high-profile locations and government facilities in the Afghan capital after Sunday's car bombing outside the office of an American security firm here.,ag_news:world,en
"One in 10 families 'pays bribes' Ten per cent of people say they or a member of their household paid a bribe in the past year, a survey suggests.",ag_news:world,en
How army briefing to families left No 10 on the back foot It was a week ago that it was first disclosed that soldiers from the Black Watch regiment had been told to prepare to deploy to an area south of Baghdad to help out the Americans planning a fresh assault on Falluja.,ag_news:world,en
Thai killer shot Britons five times Horrific details of how two British backpackers were gunned down in cold blood near the bridge on the River Kwai were released today.,ag_news:world,en
"Arafat Wife Deputies Plotting to 'Bury Him Alive' PARIS (Reuters) - Yasser Arafat's wife accused Palestinian leaders on Monday of plotting to ""bury him alive,"" but they decided to go ahead with a visit to the critically ill Palestinian president at a French military hospital.",ag_news:world,en
Berlusconi ruling may extract poison from politics The decision by a Milan court to clear Prime Minister Silvio Berlusconi of a raft of corruption charges marks the end of a decade-long legal battle and perhaps the beginning of a more peaceful era for Italian politics.,ag_news:world,en
"Meeting Was Not First for Cheney, Edwards (AP) AP - Vice President Dick Cheney said Tuesday that the debate against Democratic Sen. John Edwards marked the first time the two had met. In fact, the two had met twice previously.",ag_news:world,en
"Iran advances move to nuclear fuel, defying UN PARIS, SEPTEMBER 21: Iran defied the United Nations on Tuesday by announcing that it had begun converting tons of uranium into the gas needed to turn the radioactive element into nuclear fuel.",ag_news:world,en
"Japan PM's Support Slides on Iraq Concerns -Paper TOKYO (Reuters) - Support for Japanese Prime Minister Junichiro Koizumi and his cabinet slid sharply to 37 percent in a poll taken after his decision to extend the mandate of Japanese troops serving in Iraq, a national daily said on Sunday.",ag_news:world,en
"Checkpoint Hebrew Finds Way Into Palestinian Lexicon As Palestinians trudge across a barbed-wire passage leading to Jerusalem from the West Bank city of Ramallah, hawkers and taxi drivers greet them with a din of multilingual chants.",ag_news:world,en
"Rescue workers save 12 beached whales Rescuers have saved at least 12 pilot whales that beached themselves on Maria Island, off Tasmania #39;s east coast. It has been an exhausting 24 hours for National Parks and Wildlife officers in Tasmania after mass strandings at Maria Island and King Island.",ag_news:world,en
"Santa really does encourage boys and girls to be nice not naughty (AFP) AFP - Adults who encourage children to believe in Father Christmas helping to foster their moral development, a British child psychiatrist says.",ag_news:world,en
"Thatcher #39;s son arrested over coup plot claims Mark Thatcher, the son of the former prime minister Baroness Thatcher, has been arrested at his home in Cape Town . South African authorities say he has been detained by police investigating an alleged coup attempt in Equatorial Guinea .",ag_news:world,en
"French ex-minister in art trial The trial begins of former French foreign minister Roland Dumas, accused of corruption over art sales.",ag_news:world,en
"Militants attack army unit in Thailand, killing one soldier A group of suspected militants armed with M-16 assault rifles attacked an army unit protecting Buddhist monks at a temple in Thailand #39;s southernmost province of Narathiwat early Friday, killing one soldier, police said.",ag_news:world,en
Colombia Says Rebels Planned to Kill Bush A top official in Colombia says the country #39;s largest Marxist rebel group targeted President Bush for assassination when he visited Cartagena this past week.,ag_news:world,en
UN seeks more I Coast troops The UN mission says it needs extra troops to continue to maintain order in Ivory Coast which has seen renewed fighting between rival factions.,ag_news:world,en
"Australia, Indonesia consider defense pact Australia is considering a security pact with Indonesia if incoming president Susilo Bambang Yudhoyono agrees, Foreign Minister Alexander Downer said Monday.",ag_news:world,en
EU Commission approves Repsol's acquisition of Shell Portugal assets (AFP) AFP - The European Commission said it had approved the acquisition by Spain's Repsol YSF of most of the Portuguese products and businesses belonging to Anglo-Dutch oil giant Shell.,ag_news:world,en
"Fighting breaks out in Gaza strip Palestinian gunmen have confronted a column of Israeli armoured vehicles in the Gaza Strip, sparking a fierce firefight which has left at least one dead and five wounded.",ag_news:world,en
"Blair to Have Heart Procedure, Will Serve 3rd Term LONDON (Reuters) - British Prime Minister Tony Blair will go into hospital Friday for a procedure to correct heart palpitations but will be fully functioning and back at work next week, his office said in a statement.",ag_news:world,en
Senate Leaders Hope to Act on 9/11 Bill (AP) AP - Senate Majority Leader Bill Frist said Monday he will decide in the next two days whether there is a realistic chance Congress can get the Sept. 11 intelligence reorganization bill completed before Election Day.,ag_news:world,en
UK considers US demands for military assistance in Iraq British Defense Secretary Geoff Hoonconfirmed on Monday that the British government was considering the US request to deploy troops outside the British-controlled southern sector,ag_news:world,en
"Paris Hilton to Publish 198-Page Memoir NEW YORK - Paris Hilton is trying on a new outfit: a hard cover. The model-reality TV star is publishing a 198-page memoir, ""Confessions of an Heiress: A Tongue-in-Chic Peek Behind the Pose,"" (Fireside)...",ag_news:world,en
"Rampant corruption could wreck postwar Iraq The postwar reconstruction of Iraq could be ruined by rampant corruption, an international survey said on Wednesday. The survey, an annual list of countries held to be the most corrupt in their business dealings",ag_news:world,en
"Alstom Wins EU1.36 Bln of Contracts During Chirac Trip to China Alstom SA, the French engineering company rescued from near bankruptcy, said it won contracts worth 1.36 billion euros (\$1.69 billion) to provide China with trains as well as hydroelectric and nuclear power equipment.",ag_news:world,en
"CBS to Name Panel to Exam Bush Guard Story (AP) AP - Within the next few days, CBS News expects to name an independent panel of experts to scrutinize its reporting of President Bush's National Guard service after its defenses for airing the explosive story crumbled.",ag_news:world,en
"CARE worker believed to be dead Al-Jazeera television said a video it #39;s received shows a woman being shot. The woman is believed to be Margaret Hassan, an aid worker kidnapped last month in Iraq.",ag_news:world,en
"Violence turns to hope as Sistani #39;s arrival in Najaf heralds peace &lt;b&gt;...&lt;/b&gt; Iraq #39;s leading Shia cleric, Grand Ayatollah Ali Husseini al-Sistani, reached an apparent agreement with the radical cleric Muqtada Sadr yesterday to end a three-week uprising by Sadr #39;s Army of Mehdi militiamen in Najaf.",ag_news:world,en
"Aziz Says Pakistan Wants Peace With India (AP) AP - Insisting it was time for peace between Pakistan and India, Pakistan's prime minister said Wednesday that the two nuclear-armed rivals had the chance to ""prove the pundits of gloom and doom wrong.""",ag_news:world,en
"Two Myanmar dissidents freed in release of 5,000 prisoners &lt;b&gt;...&lt;/b&gt; YANGON : At least two Myanmar dissidents were among thousands of prisoners being freed after the military government announced it had begun releasing more than 5,000 detainees in a third mass release in less than a month, relatives and officials said.",ag_news:world,en
"Fourteen die as suicide bombs rock Baghdad and Mosul Suicide bombings yesterday in Baghdad and Mosul killed 14 people and wounded more than 60, many of them policemen, worsening a surge of violence across Iraq.",ag_news:world,en
Edwards Calls for Crackdown on Meth Labs (AP) AP - Democratic vice presidential nominee John Edwards called Monday for tighter restrictions on the sale of nonprescription cold medicines that could be used to make methamphetamine.,ag_news:world,en
Official Campaign Opens in Afghan Presidential Poll (Reuters) Reuters - The official month-long campaign for\Afghanistan's first-ever direct presidential election opened on\Tuesday in what will be a major test of U.S.-led\nation-building efforts since the 2001 ouster of the Taliban.,ag_news:world,en
"UN suspends aid operations in South Darfur after killing of workers (Canadian Press) Canadian Press - KHARTOUM, Sudan (AP) - The United Nations has suspended its humanitarian operations in Sudan's troubled South Darfur area following a shooting that killed two aid workers, the agency said Monday.",ag_news:world,en
"Six Palestinians Killed in New Fighting in Gaza, West Bank Six Palestinians died in renewed violence across the Gaza Strip and West Bank on Thursday, according to Palestinian officials, as a private group",ag_news:world,en
"N.Korea Dubs South 'Wicked Terrorist' Over Refugees SEOUL (Reuters) - North Korea has denounced South Korean authorities as ""wicked terrorists"" who orchestrated the airlift of 468 North Korean refugees as part of a plot to bring down the communist system.",ag_news:world,en
"SE Asia Forges Closer Ties with China, Japan, S.Korea Leaders of 13 Southeast and Northeast Asian states Monday underlined their determination to turn growing economic power into political influence by establishing a new summit-level grouping.",ag_news:world,en
"Guatemala to pay paramilitaries Guatemala's government agrees to pay millions of dollars to former paramilitaries, who some accuse of war crimes.",ag_news:world,en
"PA endorses domestic security plan The Palestinian Authority #39;s National Security Council on Sunday endorsed a security plan designed to restore law and order in the West Bank and Gaza Strip, but stopped short of calling for an end to attacks on Israel.",ag_news:world,en
"5 are killed as wall in Dubai falls At least five people were killed and a dozen were injured Monday after an unfinished wall collapsed during construction of a multi-billion-dollar expansion of the Dubai International Airport, airport authorities said.",ag_news:world,en
"Chinese Riot Police Heading for Haiti China has sent a contingent of riot police to Haiti to assist United Nations peacekeepers in the troubled Caribbean nation. Authorities in Beijing say the force of 95 police, which includes 13 women officers, left the Chinese capital for Haiti Sunday.",ag_news:world,en
"Australians celebrate 200th anniversary of battle to name their nation (Canadian Press) Canadian Press - CANBERRA, Australia (AP) - Australians on Sunday commemorated the efforts of a British explorer whose tenacity prevented their country being named New Holland or Terra Australis.",ag_news:world,en
"An Ominous Drone From the Gaza Sky By day, the streets of this densely populated Palestinian labyrinth are jammed with seething funeral processions and solemn mourning tents. But gradually, long before dusk, the camp is transformed into a ghost town, with civilians cowering in their apartments and masked gunmen darting through the shadows carrying Kalashnikov assault rifles and homemade bombs.",ag_news:world,en
S Korea rebuked over nuke tests Seoul is criticised by the IAEA but escapes referral to the UN Security Council over secret nuclear experiments.,ag_news:world,en
"Official: No evidence Arafat was poisoned Ramallah, West Bank -- A top Palestinian official said Saturday there is no evidence that Israel poisoned Yasser Arafat, but he called for an investigation into the cause of death of the Palestinian leader.",ag_news:world,en
"Security alert issued after top Pakistani al-Qaida suspect killed KARACHI, Pakistan Pakistani authorities are putting the city of Karachi on quot;red alert, quot; for an al-Qaida strike after its forces killed a top terror suspect.",ag_news:world,en
"Doctors involved in abuse at Abu Ghraib, report LONDON -- Doctors working for the US military in Iraq collaborated with interrogators in the abuse of detainees at Baghdad's Abu Ghraib prison, profoundly breaching medical ethics and human rights, a bioethicist charges in The Lancet medical journal.",ag_news:world,en
"Sudan deploys additional 2,000 policemen in Darfur KHARTOUM, Aug. 17 (Xinhuanet) -- The Sudanese government said on Tuesday that it has deployed another 2,000 policemen in Darfur to secure the situation in the area under an agreement with the United Nations.",ag_news:world,en
"Lieberman Shows No Interest in Cabinet (AP) AP - Democratic Sen. Joe Lieberman said Sunday he is not interested in becoming President Bush's national intelligence director or homeland security chief, shooting down speculation he might be under consideration for those jobs.",ag_news:world,en
"Disease Risk Rise After Philippine Typhoon REAL, Philippines (Reuters) - Flood waters receded in the Philippines on Friday in the wake of a typhoon that killed at least 35 people, but thousands more remained cut off from help, hungry and at risk of disease after a week of severe flooding.",ag_news:world,en
"Nigerian Military Officers Charged with Coup Plot LAGOS (Reuters) - Four Nigerian military officers and a civilian were accused Thursday of plotting to overthrow President Olusegun Obasanjo by firing a rocket at his helicopter, court documents showed.",ag_news:world,en
"Blair apologises for Iraq intelligence, not war British Prime Minister Tony Blair has remained defiant at a Labour Party annual conference, but admitted that some mistakes had been made over the war in Iraq.",ag_news:world,en
"WORLD BRIEFS PRINCE NAMED CAMBODIAN KING. Cambodian King Norodom Sihanouk #39;s son, a former ballet dancer, was officially confirmed yesterday to succeed his father on the throne.",ag_news:world,en
Activists warn of possible rape of tsunami survivors (AFP) AFP - Women activists urged Sri Lankan authorities to step up protection for tsunami survivors amid unconfirmed reports some had been molested or even gang raped at refugee shelters.,ag_news:world,en
Iraq #39;s prime minister urged not to attack Fallujah The reports come as Iraq #39;s interim prime minister is under heavy pressure not to order an assault on Fallujah. It comes from within his own government -- interim president Ghazi al-Yawer (GAH #39;-zee ahl-YOW #39;-ur).,ag_news:world,en
"Flick exhibit stuns and irritates Just two days after New York #39;s Museum of Modern Art closed its spectacularly successful temporary exhibit in Berlin, the spotlight turned to another attention-grabbing art display in the German",ag_news:world,en
"Japan, China Try to Smooth Over Tensions (AP) AP - Japanese and Chinese officials were trying to arrange a meeting between the leaders of their two countries on the sidelines of a weekend summit to try to calm rising tensions, authorities said.",ag_news:world,en
"Sponsorship not mentioned for years in department reviews: auditor general (Canadian Press) Canadian Press - OTTAWA (CP) - The federal sponsorship program operated for years without ever being mentioned in the Public Works Department's annual performance reviews, Auditor General Sheila Fraser said Tuesday.",ag_news:world,en
"Bush thanks Musharraf for anti-extremist offensive (AFP) AFP - President George W. Bush thanked Pakistan President Pervez Musharraf for pursuing a military offensive in a remote area where Osama bin Laden may be hiding, senior US officials said.",ag_news:world,en
Troops sent to protect China dam China is reported to have sent heavily armed troops to protect its huge Three Gorges Dam against terrorist attack.,ag_news:world,en
Putin clears way for Kyoto treaty Russia's President Putin signs the Kyoto protocol on climate change - enabling it to come into force next year.,ag_news:world,en
'Honour killings' law tightened Pakistan's National Assembly brings in the death penalty for extreme cases of so-called honour killings.,ag_news:world,en
"Video War Is a Break From the Real Fight Between guard duty and patrols and shifts at the dining facility, soldiers gather to crash fast cars, play volleyball with buxom women and mimic warfare in a small trailer at Camp Liberty.",ag_news:world,en
Prudential drops bid for S.Korean assest managing firm (AFP) AFP - A consortium led by British insurer Prudential PLC has dropped its bid for a major South Korean state asset managing company.,ag_news:world,en
"New Era for Cambodia as King Sihamoni Ascends Throne PHNOM PENH (Reuters) - In a ceremony full of pageantry and hope, King Norodom Sihamoni ascended the Cambodian throne on Friday, ushering in a new royal era for a country still trying to draw a line under its bloody, genocidal past.",ag_news:world,en
"Hilton Offers Reward for Lost Chihuahua LOS ANGELES - It's been a rough month for hotel heiress Paris Hilton. First, her Hollywood Hills home was burglarized and now her pet Chihuahua, Tinkerbell, has disappeared...",ag_news:world,en
Bush-Yawar firm on Iraq poll date BAGHDAD: The presidents of Iraq and the United States pledged yesterday there would be no delay to landmark elections on January 30 despite a flare-up of violence that left about 100 dead in three days.,ag_news:world,en
"U.S. Prepares for Possible Flu Outbreak WASHINGTON - Closing schools, restricting travel and rationing scarce medications may be the nation's first protections if a powerful new flu strain spurs a worldwide outbreak because it will take months to brew a vaccine, say government preparations for the next pandemic. Specialists say it's only a matter of time before the next one strikes, and concern is rising that the recurring bird flu in Asia could be the trigger if it mutates in a way that lets it spread easily among people...",ag_news:world,en
"Bush Seeks #36;2 Billion in Hurricane Aid (AP) AP - President Bush will ask Congress for #36;2 billion to help victims of Hurricane Charley, the White House said Friday.",ag_news:world,en
"Six convicted in Pitcairn sex trials Six of seven Pitcairn men being tried on sexual assault charges on the south Pacific island were convicted by three judges, New Zealand TV reported Monday.",ag_news:world,en
"Mystery surrounds what ails Arafat CLAMART, France The mystery surrounding Yasser Arafats illness broadened Thursday as the Palestinian leader at various times was said to be in a coma, in stable but serious condition, very critically ill, and then dead - until reports of his death",ag_news:world,en
"Typhoon Kills 30 in Japan, at Least 40 Missing (Reuters) Reuters - Rescuers across Japan were searching\Thursday for 40 people missing after a powerful typhoon raked\the country with heavy rains and high winds, killing at least\30 in floods and landslides.",ag_news:world,en
"Envoys head to Iraq to free hostage secure the release of a British engineer taken hostage by Muslim extremists eight days ago. The respected Muslim Council of Britain joined a growing campaign to rescue Kenneth Bigley, 62, originally from Liverpool",ag_news:world,en
"Islamic Leader Calls for Iraq Resistance (AP) AP - In his most public support of militant Islamists, the leader of Egypt's outlawed Muslim Brotherhood on Wednesday called on Iraqis and Palestinians to step up their resistance against the United States and Israel.",ag_news:world,en
Howard meets Aboriginal star Aboriginal sports star Michael Long highlights discrimination and poverty during talks with Australia's PM John Howard.,ag_news:world,en
"UN staff, foreigners to be evacuated from Ivory Coast France will begin evacuating its nationals and other Europeans from Ivory Coast starting Wednesday, the spokesman of French forces in the troubled west African country said.",ag_news:world,en
Senate Republicans Weigh Dismantling CIA WASHINGTON - Senate Intelligence Committee Republicans proposed removing the nation's largest intelligence gathering operations from the CIA and the Pentagon and putting them directly under a new national intelligence director. Sen...,ag_news:world,en
"Blair deputy tells political challengers to steer clear LONDON -- Tony Blair's deputy, John Prescott, warned potential leadership rivals yesterday they would not be forgiven for challenging Britain's prime minister and threatening electoral success.",ag_news:world,en
"Palestinian martyrs as art BEACH REFUGEE CAMP, Gaza Strip - Palestinian painter Fayez al-Hasni is in a situation most artists would envy. At 52, he has launched a genre that has brought him fame and fortune.",ag_news:world,en
"Mideast slams Israeli onslaught in Gaza AMMAN: Moderate and hardline governments around the Mideast Sunday hit out at Israel #39;s massive five-day-old incursion into Gaza, as the death toll hit 66 and Palestinians pleaded for international support.",ag_news:world,en
"U.N. Panel Rejects Bush Stance on Military Action The 16-member panel, appointed after the U.S.-led invasion of Iraq, said in a long-awaited report that only the U.N. Security Council has the legal standing to authorize such a ""preventive war.""",ag_news:world,en
"Help the Monitor Your support enables us to bring you insightful, global news coverage. Please donate today to support independent journalism.",ag_news:world,en
India death toll rises to 63 Police in India are blaming separatist rebels for a series of bombings in the country #39;s volatile northeast that killed more than 60 people.,ag_news:world,en
Security Council debate Rwanda-Congo The UN Security Council has met to discuss the alleged incursion of Rwandan troops into neighbouring Democratic Republic of Congo (DRC).,ag_news:world,en
"Turkey on Chirac-Schroeder agenda President Jacques Chirac and Chancellor Gerhard Schroeder will discuss Turkey #39;s EU membership bid on Tuesday as strong advocates of entry talks, but analysts say questions remain on their stance due to domestic opposition.",ag_news:world,en
8m gem robbery near Louvre DIAMONDS worth nearly 8m were stolen from an antique dealers #39; show near the Louvre museum in Paris yesterday. The two diamonds were taken in a daylight robbery while a member of staff manning a stand at,ag_news:world,en
Netanyahu lifts threat to resign Israeli Finance Minister Binyamin Netanyahu lifts his threat to resign over the Gaza withdrawal plan.,ag_news:world,en
"Palestinian minister to visit jailed Fatah leader mooting &lt;b&gt;...&lt;/b&gt; RAMALLAH, West Bank - Palestinian minister without portfolio Kadura Fares said he will visit Marwan Barghuti on Friday to discuss the imprisoned Fatah leaders plan to run for the presidency in January.",ag_news:world,en
"Greece in a furor over Macedonia name A US decision to call Macedonia, quot;Macedonia, quot; has raised the ire of Greece, which is threatening to keep the country out of the European Union.",ag_news:world,en
"Mine blast: Death toll rises Beijing - The death toll in a gas explosion in a Chinese coal mine rose to 66 on Friday with 82 still missing, the government said, as another 41 miners were reported killed or missing in two other accidents.",ag_news:world,en
Pinochet to testify in Jara case Chile's ex-leader Augusto Pinochet is told to give written testimony in the 1973 murder of singer Victor Jara.,ag_news:world,en
"PM welcomes EU #39;s proposal: India News: New Delhi, Nov 7 : Prime Minister Manmohan Singh today welcomed the European Union #39;s proposal for strategic partnership with India to be finalised at the summit in the Hague tomorrow.",ag_news:world,en
"US claims on Iran quot;undermined quot; by Iraq False warnings about Iraq #39;s nuclear capabilities have undermined similar US claims about the dangers of Iran #39;s activities, a former chief weapons inspector has said.",ag_news:world,en
"French security policy bombs French police ended their practice Sunday of hiding plastic explosives in air passengers #39; luggage to train bomb-sniffing dogs after one such bag got lost, possibly ending up on a flight out of Paris #39; Charles de Gaulle airport.",ag_news:world,en
Zeta Jones 'stalker' denies guilt A woman denies charges of stalking and making threats against film star Catherine Zeta Jones.,ag_news:world,en
Kenyan Nobel Prize winner pledges to continue planting quot;seeds of &lt;b&gt;...&lt;/b&gt; Kenya #39;s environmentalist Wangari Maathai said Friday that she feels quot;very excited quot; to win the 2004 Nobel Peace Prize and pledges to continue to plant the seeds of peace with her fellow Kenyans.,ag_news:world,en
"Frail Pope Ends Tiring Lourdes Pilgrimage LOURDES, France (Reuters) - Pope John Paul, a sick man among the sick, wound up a emotional visit to this miracle shrine Sunday and struggled with iron determination to finish a sermon in order to encourage others suffering around him.",ag_news:world,en
"Couple linked with embassy attack arrested in Indonesia A man and his wife have been arrested in the Indonesian province of East Java with possible link to the last week #39;s bombing outside the Australian Embassy here, police said Thursday.",ag_news:world,en
"Insurgent Video Shows Apparent Beheadings in Iraq A videotape posted on an Iraqi Islamist web site shows what appears to be the beheading of three members of the Kurdistan Democratic Party, which cooperates with the Baghdad government.",ag_news:world,en
"Darfur peace talks resume in Nigerian capital Peace talks between the Sudanese government and rebel groups in Darfur will resume in the Nigerian capital, Abuja, today. The talks are aimed at resolving the conflict which has left thousands of people dead and more than one million destitute.",ag_news:world,en
"Africa backs Ivory Coast embargo AFRICAN leaders have backed an arms embargo and other immediate UN sanctions against Ivory Coast, isolating President Laurent Gbagbo #39;s hardline Government even further in its deadly confrontation with its former colonial ruler, France.",ag_news:world,en
"Environment: World On Alert As Over 15,000 Species Face Extinction Global biodiversity is shrinking at an unprecedented rate and the prognosis given by one of the world #39;s leading conservation bodies, at the opening of a major environment conference here, is alarming.",ag_news:world,en
"Susilo to form Cabinet as of Oct. 5: Minister JAKARTA (Antara): Presidential front-runner Susilo Bambang Yudhoyono, who is leading in the vote-count by a wide margin ahead of President Megawati Soekarnoputri, will likely start drawing up his Cabinet on Oct. 5., a party leader has said.",ag_news:world,en
"Kite festival begins as prelude to 350th anniversary of Taj Agra, Sep 27. (PTI):A kite festival today began on the banks of the Yamuna river behind the Taj Mahal as a prelude to the 350th anniversary celebrations of the world-famous monument opening this evening.",ag_news:world,en
